# Behavior Recording - Load Cell Log
# Channel: Load Cell 1
# Serial port: /dev/cu.usbserial-210
# Baud rate: 115200
# Samples: 828
# Duration (s): 10.182
# Average sample rate (Hz): 81.32
Time (s),Value
0.0034,318691
0.0154,318714
0.0278,318743
0.0455,318607
0.0526,318275
0.0648,318844
0.0840,318857
0.0909,319011
0.1016,318948
0.1223,318778
0.1280,318839
0.1387,318642
0.1508,318895
0.1670,319245
0.1756,319010
0.1879,318859
0.2061,318780
0.2138,319252
0.2249,319055
0.2549,318297
0.2553,318586
0.2618,319038
0.2739,319052
0.2865,318796
0.2986,318510
0.3110,318744
0.3255,318759
0.3357,318713
0.3478,318973
0.3610,319120
0.3724,318859
0.3847,318799
0.3991,318864
0.4093,318959
0.4219,318611
0.4434,318711
0.4500,318852
0.4586,318792
0.4709,319263
0.4937,318994
0.4999,318767
0.5080,318830
0.5236,318943
0.5326,318969
0.5448,318745
0.5642,318380
0.5719,318173
0.5817,318539
0.5941,318868
0.6072,318893
0.6189,318701
0.6311,319052
0.6537,319008
0.6591,318719
0.6679,318584
0.6850,318763
0.6925,318839
0.7049,318630
0.7257,318857
0.7318,319073
0.7418,318984
0.7539,318807
0.7695,318886
0.7788,318991
0.7915,318815
0.8053,318802
0.8156,318866
0.8279,318735
0.8527,319027
0.8532,319060
0.8649,318914
0.8831,319219
0.8906,319161
0.9019,318845
0.9196,318689
0.9264,318819
0.9387,318659
0.9516,318607
0.9643,319264
0.9756,318912
0.9878,318378
1.0048,318160
1.0123,318816
1.0249,318917
1.0434,318580
1.0503,318796
1.0619,318668
1.0903,318441
1.0907,318654
1.0986,318860
1.1109,318645
1.1239,318306
1.1357,318286
1.1479,318535
1.1656,318842
1.1731,318585
1.1848,318733
1.2036,318908
1.2105,318987
1.2216,319202
1.2417,319123
1.2491,318860
1.2586,318930
1.2710,318820
1.2940,318856
1.3000,318813
1.3079,318962
1.3233,318902
1.3327,318927
1.3448,318727
1.3640,318571
1.3719,318622
1.3819,318684
1.3940,318546
1.4089,318649
1.4188,318918
1.4310,318783
1.4552,318765
1.4591,318698
1.4681,318518
1.4819,318288
1.4927,318766
1.5048,318898
1.5261,319442
1.5312,319619
1.5418,319861
1.5541,320059
1.5680,319335
1.5789,318275
1.5913,317948
1.6049,318766
1.6157,319042
1.6281,318629
1.6425,318763
1.6526,319156
1.6651,319005
1.6906,318831
1.6945,318521
1.7019,318961
1.7193,318757
1.7265,318641
1.7389,318799
1.7511,318815
1.7645,318792
1.7757,319072
1.7881,318768
1.8026,318123
1.8125,318329
1.8250,318839
1.8413,319119
1.8495,318583
1.8621,318833
1.8740,319367
1.8957,319187
1.9004,318518
1.9112,318778
1.9256,319281
1.9358,318876
1.9481,318268
1.9657,318379
1.9731,318736
1.9849,318883
2.0045,318763
2.0113,318889
2.0218,318963
2.0421,318699
2.0488,318543
2.0589,318684
2.0711,319102
2.0939,318927
2.1012,318795
2.1080,318831
2.1236,318645
2.1328,318686
2.1450,318792
2.1658,318836
2.1713,318657
2.1820,318853
2.1943,319042
2.2080,318883
2.2188,318845
2.2314,319163
2.2553,322471
2.2591,328055
2.2682,330582
2.2819,333676
2.2927,337498
2.3050,337380
2.3219,336047
2.3297,334668
2.3420,329812
2.3543,321814
2.3701,317243
2.3790,318607
2.3912,319469
2.4048,318558
2.4160,318212
2.4282,319256
2.4424,319387
2.4528,318851
2.4653,319302
2.4936,319054
2.4942,318464
2.5021,318433
2.5142,318984
2.5293,319140
2.5389,318597
2.5512,318712
2.5670,319352
2.5759,319311
2.5881,318751
2.6035,318693
2.6126,318749
2.6251,318986
2.6410,318257
2.6498,318708
2.6621,319257
2.6745,319015
2.6992,318648
2.6998,318666
2.7114,318544
2.7259,318622
2.7361,318694
2.7482,318743
2.7655,318672
2.7727,318539
2.7851,318747
2.8045,319040
2.8118,318807
2.8220,318342
2.8422,318673
2.8489,319053
2.8590,318599
2.8714,318636
2.8946,319087
2.9016,318741
2.9083,318223
2.9234,318380
2.9330,318699
2.9450,318444
2.9661,318742
2.9716,318973
2.9821,318667
3.0041,318828
3.0092,319126
3.0190,319327
3.0314,318604
3.0562,318507
3.0570,318916
3.0684,318855
3.0840,318754
3.0930,318758
3.1052,318617
3.1264,318543
3.1317,318463
3.1423,318674
3.1545,318950
3.1686,318971
3.1790,319086
3.1914,318711
3.2059,318703
3.2159,318698
3.2285,318674
3.2426,318552
3.2529,318408
3.2653,318580
3.2939,318819
3.2943,319052
3.3022,319162
3.3247,319144
3.3303,318840
3.3391,318280
3.3515,318578
3.3666,318661
3.3760,319117
3.3883,319063
3.4020,318935
3.4130,318683
3.4254,318837
3.4413,318847
3.4500,319010
3.4622,318880
